English,Latin_Lemma
"booty, prey",praeda
to gird on,accingo
feast,daps
about to be; future,futurus
to tear apart or off; snatch,diripio
rib,costa
innards,viscus
"to bare, strip",nudo
"part, portion",pars
piece,frustum
to cut,seco
spit,veru
to tremble,tremo
"to fix, fasten",figo
vessel,aenum
"to place, put",loco
"other, another",alius
food,victus
"grass, herb",herba
to fill in/up,impleo
Bacchus,Bacchus
fat; dull,pinguis
of wild beasts,ferinus
"to take away, remove",eximo
"hunger, famine",fames
table,mensa
to move back,removeo
"to send away, lose",amitto
conversation,sermo
to seek,requiro
"fear, dread, anxiety",metus
doubtful,dubius
whether; or if,sive
to live,vivo
"to trust, believe",credo
"farthest, extreme",extremus
to hear,exaudio
"especially, particularly",praecipue
dutiful,pius
"sharp, piercing",acer
Amycus,Amycus
"to groan, sigh",gemo
"unfeeling, cruel",crudelis
Lycus (name),Lycus
Gyas,Gyas
Cloanthus,Cloanthus
"to look down upon, despise",despicio
sail–covered,velivolus
to fix,defigo
light,lumen
sad,tristis
tear,lacrima
to pour from below; pour through; overspread,suffundo
shining,nitens
"to speak to, address",alloquor
Venus (goddess),Venus
"lightening, thunderbolt",fulmen
to terrify,terreo
"to join, entrust",committo
funeral; death; dead body,funus
"circle, orb",orbis
"without doubt, certainly",certo
Teucer (Teucrus),Teucer
dominion,dicio
to promise,polliceor
opinion,sententia
indeed,equidem
going down; setting; the west,occasus
to console,solor
opposite,contrarius
to make up for; balance,rependo
same,idem
"fortune, chance",fortuna
Antenor,Antenor
to slip away,elabor
Achaean; Greek,Achivus
"of the Illyrians, tribes in Dalmatia and Albania",Illyrius
to penetrate,penetro
"nearer, deeper",interior
of the Liburnians,Liburnus
"spring, fountain",fons
to overcome,supero
the Timavus,Timavus
"9, 9th",novem
to go,eo
to cause to burst forth; cast forth,prorumpo
"nevertheless, however",tamen
Patavium,Patavium
name,nomen
peace; favor,pax
"to sleep, keep quiet",quiesco
we; us,nos
to nod to; with dat.,adnuo
not to be uttered,infandus
"to put forth, betray",prodo
to disjoin,disiungo
to smile (down) upon,subrideo
planter sower begetter father founder,sator
"to make clear, brighten",sereno
kiss,osculum
"to pour, taste",libo
daughter,nata
to spare (+ dat.),parco
"Venus, the Cytherean goddess",Cytherea
"unmoved, unchanged, unrelenting",immotus
your friends,tui
"to discern, separate",cerno
"to send forth, let loose; promise",promitto
Lavinium (town),Lavinium
elevated lofty heroic noble,sublimis
noble–spirited,magnanimus
"when, since; some day (= si quando)",quando
to bite again and again; (fig.),remordeo
"secret, mysterious, hidden",arcanus
bold; wild,ferox
to beat crush bruise destroy,contundo
custom,mos
3rd,tertius
summer,aestas
3 each,terni
to go across,transeo
Rutulus,Rutulus
winter quarters,hiberna
to drive under,subigo
"boy, slave",puer
Ascanius,Ascanius
surname,cognomen
Julus,Iulus
to give to,addo
Ilus,Ilus
to stand,sto
of Ilium; Ilian; Trojan,Ilius
30; 30th,triginta
month,mensis
"to fill up, fulfil",expleo
to bring across,transfero
"to build, fortify",munio
Alba; Alba Longa,Alba
100; 100th,centum
of Hector; Hectorean,Hectoreus
until,donec
"priest, priestess",sacerdos
"birth, offspring",partus
Ilia,Ilia
"from there, from then",inde
she–wolf,lupa
reddish or tawny yellow,fulvus
nurse,nutrix
means of covering; skin,tegmen
Romulus,Romulus
"to receive, take",excipio
pertaining to Mavors or Mars,Mavortius
his/her/its own,suus
"down from, about, concerning",de
"limit, goal, boundary, turning point",meta
time,tempus
"introduces Relative Clause of Characteristic, Doubting clause, Prevention clause",quin
"to tire, wear out",fatigo
plan; council,consilium
master,dominus
wearing the toga,togatus
to please,placeo
bog; den (of animals),lustrum
"to glide, slip (down)",labor
age,aetas
Assaracus,Assaracus
Phthia,Phthia
"clear, distinguished",clarus
Mycenae,Mycenae
"servitude, slavery",servitium
to be lord or master; rule,dominor
"to be born, come into being",nascor
origin,origo
Caesar (name),Caesar
the ocean,oceanus
"rumor, fame",fama
to put bounds to; limit,termino
star,astrum
"of the gens Julia, Julian; of the month of July",Iulius
"to send down, drop",demitto
plunder,spolium
the east; the rising sun,Oriens
"loaded, laden",onustus
free from care,securus
vow,votum
to become mellow; to become mild,mitesco
"age; generation, people born at a time; mortal race; century",saeculum
"white, of the hair and beard",canus
"trust, faith",fides
Vesta,Vesta
Remus,Remus
Quirinus,Quirinus
"right, justice, law",ius
"awful, ill-omened",dirus
iron,ferrum
"straitened, narrow",artus
disloyal,impius
to tie up,vincio
"of bronze, brazen",aenus
knot,nodus
"rough, uncouth",horridus
"bloody, blood–stained",cruentus
Maia,Maia
to bring forth,gigno
new,novus
to be open,pateo
hospitality,hospitium
not; in order that…not; that…not; that,ne
ignorant,nescius
Dido,Dido
air,aer
rowing; oarage,remigium
"wing, armpit",ala
swift,citus
"Phoenician, Carthaginian",Poenus
to wish,volo
especially,imprimis
kind,benignus
daylight,lux
giving nourishment; blessed,almus
to go forth,exeo
for,nam
"uncared for, neglected, unshorn",incultus
wild animal,fera
to seek,quaero
to establish; decide,constituo
"precise, scrupulous",exactus
convexity; recess,convexum
to hollow or scoop out,cavo
tree,arbor
to cover,occulo
"to step, walk",gradior
to accompany,comitor
2 by 2,bini
"to wrinkle, brandish",crispo
the shaft of a spear; a spear,hastile
mother,mater
in the way,obvius
maiden,virgo
"condition, appearance, style of dress",habitus
Spartan,Spartanus
or,vel
what sort,qualis
a Thracian huntress,Threissa
Harpalyce,Harpalyce
flying,volucer
to turn before; to preoccupy,praeverto
Hebrus,Hebrus
"the upper arm, shoulder",umerus
suited,habilis
to hang,suspendo
huntress,venatrix
hair,coma
to pour round about,diffundo
"nude, bare",nudus
knee,genu
to flow,fluo
"former, previous, prior, first; (+ abl. of comparison) superior to",prior
hi! hey!,heus
to say,inquam
youth,iuvenis
"to show, point out",monstro
to gird beneath; gird up; wrap,succingo
quiver,pharetra
"spotted, speckled",maculosus
lynx,lynx
to foam,spumo
wild boar,aper
son,filius
to begin,ordior
"not at all, by no means",haud
mortal,mortalis
to sound,sono
"or, whether, if",an
Phoebus,Phoebus
fortunate,felix
"our, ours",noster
finally,tandem
to teach,doceo
sacrificial animal; victim,hostia
to deem worthy of (+acc. and abl.),dignor
"to carry, bear",gesto
purple,purpureus
"aloft, on high",alte
the calf of the leg; the leg,sura
buskin,cothurnus
Punic; Carthaginian,Punicus
Agenor,Agenor
Libyan,Libycus
that can not be handled or managed,intractabilis
to set forth,proficiscor
brother,germanus
"to flee, escape",fugio
"a roundabout path, circuitous route; meandering",ambages
summit,fastigium
Sychaeus,Sychaeus
field,ager
Phoenices,Phoenices
"wretched, pitiable",miser
to choose; love,diligo
"untouched, unbroken",intactus
to yoke; (fig.),iugo
omen,omen
Tyre,Tyros
"to have, hold",habeo
Pygmalion,Pygmalion
crime,scelus
gold,aurum
blind,caecus
secretly,clam
"unguarded, unsuspecting",incautus
"having the same parents, true, real",germanus
deed,factum
for a long time,diu
to hide,celo
"bad, evil",malus
empty,vanus
to play; play with,ludo
"loving, fond; (subst.) a lover",amans
sleep,somnus
unburied,inhumatus
"image, echo",imago
measure; manner,modus
to raise up,attollo
"pale, ghastly",pallidus
"marvelous, wonderful",mirus
"to transport, pierce, cross over",traicio
"to uncover, reveal",retego
to speed,celero
to go out/away,excedo
to recommend,suadeo
"aid, help",auxilium
street,via
to unclose; to open,recludo
treasure,thesaurus
unknown,ignotus
silver,argentum
weight,pondus
to assemble; agree,convenio
hatred,odium
tyrant,tyrannus
greedy,avarus
"leader, general",dux
"woman, wife",femina
to come down; arrive at,devenio
to rise,surgo
to exchange merchandise; traffic,mercor
"bottom, native territory",solum
Byrsa,Byrsa
of a bull,taurinus
how great,quantus
to surround,circumdo
"where; to what purpose, in order that",quo
journey,iter
to breathe from beneath or deeply; to sigh,suspiro
to drag,traho
to demand back,repeto
to proceed,pergo
to be empty,vaco
an annual chronicle,Annalis
"Vesper, the evening start",Vesper
Olympus,Olympus
"chance, luck",fors
to drive to; bring,appello
(public) enemy,hostis
well–known,notus
10 each,deni
to pull violently; pluck,convello
to be left over,supersum
destitute,egens
"desert places, wastes",deserta
to go through fields or lands; to roam,peragro
Europa (name),Europa
Asia,Asia
"to drive (off), strike",pello
to complain,queror
to speak between; interrupt,interfor
"whoever, whichever",quisquis
a god or goddess,caelestis
"vital, pertaining to life",vitalis
"to pluck, seize; criticize",carpo
to arrive,advenio
"only, just now",modo
threshold,limen
to endure,perfero
"led back, brought back",redux
to announce,nuntio
safety,tutum
in vain,frustra
prophecy,augurium
to look at,aspicio
6 at a time,senus
"to rejoice, be glad",laetor
swan,cycnus
heavenly,aetherius
"tract, zone",plaga
bird,ales
to disturb,turbo
row,ordo
to seize,capio
to look down upon,despecto
meeting together; sexual union,coitus
singing or playing; melody; song,cantus
"otherwise, differently",aliter
the groin,pubes
full,plenus
to lay straight,dirigo
stepping; step,gressus
rosy,roseus
neck,cervix
to flash back; shine forth,refulgeo
ambrosial,ambrosius
divine,divinus
scent,odor
to breathe,spiro
foot,pes
clothing,vestis
to flow down; sail down,defluo
"real, true",verus
walking or advancing; manner of walking; walk,incessus
to recognize,agnosco
son,natus
so often,totiens
"deceptive, false",falsus
why,cur
to return,reddo
to bring a cause or case against any one; to accuse,incuso
"covered, dark",obscurus
to fence in; enclose,saepio
cloud,nebula
to pour around; to encompass,circumfundo
veiling or draping of the person; an upper garment,amictus
"or not, and not, nor, neither",neu
"to work at, devise",molior
delay,mora
to demand,posco
Paphos (–us),Paphos
to look at again; visit again,reviso
temple,templum
Sabaean; Arabian,Sabaeus
incense,tus
to be warm; to glow,caleo
things entwined; garlands,serta
fresh,recens
to breathe; exhale or emit odor; be fragrant or redolent,halo
lane,semita
to ascend,ascendo
hill,collis
to look at or upon,aspecto
"to wonder, be astonished",miror
huts,magalia
noise; an uproar; din,strepitus
"bedding, coverlet; (often in pl.) bed",stratum
to stand in/on,insto
burning,ardens
wall,murus
to roll up,subvolvo
roof,tectum
to shut completely; shut around,concludo
furrow,sulcus
magistracy,magistratus
"to choose, collect; read",lego
consecrated,sanctus
senate,senatus
to dig out,effodio
theater,theatrum
foundation,fundamentum
column,columna
to cut out,excido
beauty; ornament; glory,decus
bee,apis
flowery,floreus
country,rus
"to train, exercise, carry on",exerceo
"ripe, mature",adultus
to lead forth,educo
bearing or breeding; the young; the new swarm,fetus
to be fluid,liqueo
honey,mel
to tread down,stipo
to stretch apart or out; extend,distendo
nectar,nectar
a room,cella
"load, burden",onus
lazy,ignavus
the male bee; a drone,fucus
"farm animals, herd",pecus
"an enclosure, manger, trough",praesaepe
to boil; (fig.),ferveo
to give forth a smell; to be redolent of,redoleo
the herb thyme,thymum
to emit a smell; be fragrant,fragro
"lucky, fortunate, happy",fortunatus
to take up; recognize; accept,suspicio
"wonderful, extraordinary",mirabilis
"grove, wood",lucus
"mark, impression, sign",signum
royal,regius
"distinguished, uncommon",egregius
easy,facilis
of Sidon (city); Sidonian,Sidonius
gift,donum
"rich, opulent",opulentus
goddess,diva
made of copper or bronze,aereus
step; position,gradus
"to tie, bind, connect, weave",necto
beam of wood,trabs
door,foris
hinge,cardo
"to offer, present",offero
to alleviate,lenio
to hope,spero
health,salus
dejected,adflictus
well,bene
"to be assured, trust",confido
"to purify by atonement; survey, review",lustro
separate,singuli
"to wait, expect",opperior
an artist,artifex
"battle, fight",pugna
"to publish, circulate",vulgo
son of Atreus,Atrides
Priamus,Priamus
both,ambo
"to cry, weep",lacrimo
region,regio
look!,en
reward,praemium
"praise, glory",laus
human affairs; fortunes,mortalia
to touch,tango
"someone, something; some, any",aliquis
