English,Latin_Lemma
pertaining to Ino,Inous
Palaemon,Palaemon
the left–hand places; waters or waves on the left hand,laeva
Thetis,Thetis
Melite,Melite
Nisaee,Nisaee
Spio,Spio
Thalia,Thalia
Cymodoce,Cymodoce
left,sinister
"dark, murky",tenebrosus
dream,somnium
Phorbas,Phorbas
talking; speech; word,loquela
Iasides,Iasides
to steal,furor
for a short while,paulisper
to not know; ignore,ignoro
"deceitful, treacherous, false",fallax
clear sky,serenum
to fasten to,adfigo
of Lethe (river); oblivious; Lethean,Lethaeus
dew,ros
to cause to sleep or to render sleepy; to make soporific; to drug,soporo
unexpected,inopinus
Sirenes,Sirenes
to float,fluito
of Euboea (island); Euboean,Euboicus
Cumae,Cumae
seed,semen
to push or thrust off,abstrudo
anything apart; a solitary place; secret,secretum
Trivia; an epithet of Hecate or Diana,Trivia
Daedalus,Daedalus
pertaining to Minos,Minoius
unaccustomed,insuetus
to swim out or away,eno
Arctos,Arctos
of Chalcis (town); Chalcidian,Chalcidicus
to weigh; have a weight of (a particular amount),pendo
"a son or descendant of Cecrops, pl., the Athenians",Cecropides
urn,urna
"to put; put something in the place of another, substitute",suppo
Pasiphae,Pasiphae
two–formed,biformis
Minotaurus,Minotaurus
to be in,insum
that cannot be disengaged or disentangled,inextricabilis
"thread, string",filum
Icarus,Icarus
to mold out,effingo
to read through,perlego
Deiphobe,Deiphobe
spectacle; (pl.) the seats for the audience,spectaculum
"herd, flock",grex
"to arrange, adorn",como
"to go to, visit, survey",obeo
"foreknowing, prescient",praescius
not due,indebitus
"to undertake; equip, educate",instituo
mocking; mockery,ludibrium
by so much,tanto
"raving, savage, mad, raging",rabidus
"to finish, complete",defungor
venturing,audens
to bellow again or loudly; resound,remugio
prick; spur,stimulus
to anticipate; advise,praecipio
marsh,palus
to put in charge,praeficio
Orpheus,Orpheus
lute string,fides
harmonious,canorus
Pollux,Pollux
to buy back; purchase; buy out of slavery,redimo
Theseus,Theseus
going down; descent,descensus
to carry forth; carry up,eveho
Cocytus,Cocytus
to surround,circumvenio
to swim upon or over,inno
valley completely enclosed by hills; valley,convallis
covered or secret place; partitive,opertum
golden–haired,auricomus
to pluck off; crop,decerpo
to put forth leaves,frondesco
mine; metal,metallum
to track; trace,vestigo
to defile,incesto
"decree, decision",consultum
Styx,Styx
result,eventus
to join together; interweave,sero
to lay earth on anything; inhume,humo
a son or descendant of Aeolus,Aeolides
"an augur's staff, a wind instrument",lituus
lower,inferior
shellfish; cockle shell,concha
foaming,spumosus
the pitch–pine; the pine,picea
to smite,ico
pertaining to the ash tree,fraxineus
easily split,fissilis
to roll to,advolvo
truly,vere
to shade,opaco
to go,prodeo
to having a smell; aromatic,olens
to seat one’s self; perch,sido
of different color,discolor
wintry,brumalis
the mistletoe,viscum
to be green,vireo
to plant,semino
thin plate of metal; gold–foil,bractea
to break back; break off,refringo
the end,supremum
to adorn,decoro
"warm, hot",calidus
to weep much; weep over,defleo
bier,feretrum
"service, ministry",ministerium
to burn,cremo
of frankincense,tureus
oil,olivum
"drinking readily, absorbent",bibulus
Corynaeus,Corynaeus
to bear round; pass around,circumfero
quick,properus
gaping; throat,hiatus
consisting of jagged stone,scrupeus
winged creature; bird,volans
to cause to incline; turn into,invergo
bristle; stiff hair,saeta
libation; sacrifice,libamen
plowshare; knife,culter
to lay the foundation; begin,incoho
to pour over or upon,superfundo
"outside the shrine, profane, no sacred",profanus
need,opus
"hesitant, cowardly, timid",timidus
Phlegethon,Phlegethon
to dip,mergo
"sickness, disease",morbus
"desperate, crime–inducing",malesuadus
"poverty, need, want",egestas
deadly,mortifer
"disagreement, dissention",discordia
viperous,vipereus
an elm tree,ulmus
to be in a stall or standing–place; to stay,stabulo
hundredfold,centumgeminus
Briareus,Briareus
beast,belua
Lerna,Lerna
fearfully,horrendum
three–bodied,tricorpor
"taught, learned, skilled",doctus
pertaining to Tartarus; Tartarean,Tartareus
dirt,caenum
chasm,vorago
"be very hot, burn; seethe; fret",aestuo
carrier; ferryman,portitor
foulness,squalor
Charon,Charon
hoariness,canities
"dirty, sordid",sordidus
rust–colored,ferrugineus
to carry up often,subvecto
"small boat, rowboat",cumba
fall,autumnus
to move from beneath; remove,summoveo
bluish; envious,lividus
to carry across or over,transporto
"to send to, admit",admitto
Leucaspis,Leucaspis
"windy, stormy",ventosus
to deceive,deludo
"violent, savage",violentus
"pleasant, delightful, agreeable",iucundus
unconquered,invictus
of Velia; Velian,Velinus
she who brings forth; a mother,creatrix
serious,severus
not commanded,iniussus
a little while,parumper
to rattle; complain loudly about,increpo
from over there,istinc
drowsy,soporus
to convey,vecto
Pirithous,Pirithous
to attack; attempt,adorior
Amphrysius,Amphrysius
door–keeper,ianitor
"continually, eternally",aeternum
to bark,latro
uncle,patruus
"venerable, deserving of respect",venerabilis
cavity,alveus
stitched together,sutilis
"full of cracks, leaky",rimosus
"mud, slime",limus
"dark, sea–green",glaucus
to abandon,expono
Cerberus,Cerberus
"triple voiced, three–throated",trifaux
"to treat, medicate (with); dye (with)",medico
mouthful,offa
"windpipe, throat",guttur
wailing,vagitus
not capable of speech; an infant,infans
judge; juror,iudex
an investigator; investigation,quaesitor
Minos,Minos
to hate,perodi
narrow or straitened circumstances; poverty,pauperies
unlovely,inamabilis
9 times,noviens
"to enclose, control",coerceo
melting,tabes
to eat through or completely; eat up; consume,peredo
of myrtle,myrteus
Phaedra,Phaedra
Procris,Procris
Eriphyla (name),Eriphyla
Evadne,Evadne
Laodamia,Laodamia
Caeneus,Caeneus
"form, shape",figura
"thorny, rugged",sentus
to be able,queo
departure,discessus
of Marpesus (mountain),Marpesius
shady,umbrifer
former,pristinus
to crowd together,frequento
Tydeus,Tydeus
Parthenopaeus,Parthenopaeus
Adrastus ,Adrastus
"liable to fall, doomed",caducus
Medon,Medon
Thersilochus,Thersilochus
Antenorides,Antenorides
Polyboetes,Polyboetes
Idaeus (name),Idaeus
"to collect, transfer, move",confero
to render vain; frustrate,frustror
to yawn,hio
to lacerate,lanio
"cruelly, barbarously",crudeliter
dishonorable; ignominious,inhonestus
nostril,naris
slaughter,strages
foot soldier,pedes
crying Euhan! shrieking madly,euhans
to lead around,circumduco
to move away,amoveo
one giving encouragement or inciting; an instigator,hortator
yoke or team of four horses,quadrigae
to split apart,findo
"Elysian, of the Elysian fields",Elysius
that which cannot be overcome,adamas
Tisiphone,Tisiphone
sleepless,exsomnis
"chain, fetter",catena
Rhadamanthus,Rhadamanthus
to scatter; divulge; differ,differo
hurtful; guilty,sons
causing a fearful sound,horrisonus
"custody, protection, prisoner",custodia
water–serpent; snake,hydra
looking up; upward views; distance upward,suspectus
Titanian; of Titanian origin,Titanius
the stepsons of Aloeus,Aloidae
"to tear off or away, cancel",rescindo
Salmoneus,Salmoneus
to imitate,imitor
that can be imitated,imitabilis
horn–hoofed,cornipes
striking or beating; tramp,pulsus
smoky,fumeus
Tityos,Tityos
all–producing,omniparens
foster–son,alumnus
Roman acre,iugerum
to stretch forth,porrigo
vulture,vultur
hooked,obuncus
immortal,immortalis
the liver,iecur
bringing forth,fecundus
to force open in cracks (fig.),rimor
fiber,fibra
to be born again; to be reproduced; grow again,renascor
Lapitha,Lapitha
Ixion,Ixion
"like, similar to",adsimilis
sacred to the guardian spirit; genial,genialis
support,fulcrum
"magnificent, royal",regificus
to lie near or by,accubo
to rise up; rise,exsurgo
"client (of a patron), dependent",cliens
"riches, wealth",divitia
adultery,adulterium
to draw apart; draw,distringo
Phlegyas,Phlegyas
to run through or over,percurro
"an arch, vault; brothel",fornix
green or grassy spot; lawn or meadow,virectum
to clothe,vestio
circling dance,chorea
to speak against,obloquor
"comb; shell-fish, scallop",pecten
of ivory,eburneus
originally Paean,Paean
sweet–smelling,odoratus
from above,superne
Eridanus,Eridanus
to cultivate completely; refine,excolo
Musaeus,Musaeus
to stand forth or out; rise above,exsto
meadow,pratum
"to inhabit, dwell",incolo
to till again; (fig.),recolo
to estimate from the beginning; reckon,recenseo
to distinguish by number,dinumero
to moisten,rigo
sequestered,seclusus
to swim in front of or by; (fig.),praenato
countless,innumerus
lily,lilium
to make a noise; murmur,strepo
oblivion,oblivium
to drink,poto
(introducing questions with note of surprise or indignation: can it be that…?),anne
"liveliness, activity, vigor",vigor
"guilty, hurtful",noxius
earthen,terrenus
to see distinctly,dispicio
"completely, utterly",funditus
bodily,corporeus
to grow into,inolesco
to wash out or away,eluo
from that place,exinde
"artless, naïve, lacking guile",simplex
assembly,conventus
bright,illustris
Silvius,Silvius
Lavinia,Lavinia
Procas,Proca
Numitor,Numitor
of a citizen,civilis
Nomentum,Nomentum
Gabii (place),Gabii
Fidena,Fidena
of Collatia,Collatinus
of or from the Pometii,Pometius
Castrum Inui,Castrum
another name for god Pan,Inuus
Bola,Bola
Cora (town),Cora (town)
Berecyntius,Berecyntius
Augustus,Augustus
Saturnus,Saturnus
belonging to India; Indian; native american (neo-Latin),Indus
to bring forth,profero
heaven–bearing,caelifer
of the Caspian Sea; Caspian,Caspius
pertaining to the Maetoae,Maeotius
sevenfold,septemgeminus
Nilus,Nilus
bronze–footed,aeripes
even though,licet
to render peaceful; to quiet,paco
covered in vines,pampineus
Bacchus; Dionysus,Liber
Nysa (town),Nysa
covered over with gray,incanus
Cures,Cures
Tullus (name),Tullus
arrogant,iactans
Ancus,Ancus
public,popularis
Tarquinius,Tarquinius
Brutus ,Brutus
bundle; burden,fascis
consul,consul
freedom,libertas
"in whatever way, however; according as, whenever; at any event, at any rate",utcumque
Decii,Decii
Drusus,Drusus
Torquatus (name),Torquatus
Camillus,Camillus
Monoecus,Monoecus
to grow accustomed to,assuesco
to triumph,triumpho
the Capitol,Capitolium
Corinth (town),Corinthus
"to violate, desecrate, defile",temero
Cato (name),Cato
Cossus,Cossus
Gracchus,Gracchus
one of the Scipios,Scipiades
small estate,parvum
Fabricius,Fabricius
Serranus,Serranus
Fabius,Fabius
Maximus,Maximus
to restore,restituo
"comp., mollius (mollis), softly, gently, sweetly",molliter
going; passage,meatus
Marcellus,Marcellus
a Gaul,Gallus
"warring, rebellious",rebellis
around (adv. and prep. +acc.),circa
that which is fastened forward or along; the layer of a vine; offspring,propago
of Romulus; Romulean,Romulus
to dig,fodio
spur,calcar
the shoulder,armus
to place heap on heap,accumulo
to perform (+ acc. or abl.) ,fungor
Latinus,Latinus
made of horn,corneus
Caieta,Caieta
"straight, direct",rectus
of Aeneas,Aeneius
funeral rites,exsequiae
to shine,splendeo
trembling,tremulus
of Circe,Circaeus
"difficult of approach, perilous to be approached",inaccessus
daughter,filia
cedar,cedrus
clear; clever,argutus
bristle–bearing,saetiger
bear,ursus
"so as to pass by, past; beyond; except",praeter
"intensely hot, blazing",fervidus
yellowish,luteus
an oar,tonsa
Erato,Erato
position,status
Faunus,Faunus
Marica,Marica
Picus (name),Picus
marriageable,nubilis
Turnus,Turnus
grandfather,atavus
palace,regia
"to join to, connect",adiungo
an omen,portentum
fear,terror
"interchangeable,",mutuus
a multitude; swarm,examen
smoking,fumidus
prophetic,fatidicus
Albunea,Albunea
poisonous,mephitis
conversation,colloquium
having two teeth; a sacrificial animal,bidens
propped up; supported,effultus
to run back; return,recurro
"to tie up, bind fast",religo
of fine wheat,adoreus
cake,libum
fruit,pomum
want,penuria
crust,crustum
"opening, wide",patulus
anything quadriform; one of the equal quarters of a wheaten loaf or cake,quadra
to speak playfully; sport,adludo
to call upon; invoke,invoco
to spread abroad,dido
Numicus,Numicus
begotten of,satus
speaker,orator
holy,augustus
ditch,fossa
"feather, wing",pinna
"eldest, youthful",primaevus
to tame; train,domito
to ride before,praevehor
"of a grandfather, ancestral",avitus
"place of assembly, Roman senate; court",curia
Italus,Italus
Sabine,Sabinus
vine–planter,vitisator
Ianus,Ianus
"two–faced, double–faced",bifrons
pertaining to Quirinus or Romulus,Quirinalis
toga of purple cloth,trabea
small figure-of-eight shield,ancile
Auruncan; of Aurunca,Auruncus
Phrygia,Phrygia
Samothracia,Samothracia
poured forth; overflowing; thronging,effusus
"an impelling, performance (of an act or thing)",actus
washing away,diluvium
harmless,innocuus
"disgraceful, bringing disgrace",indecor
to decay,abolesco
"headband, turban; tiara",tiara
unmoved,immobilis
wealth,opulentia
to shudder greatly; shudder at,exhorresco
to divine,auguro
"to pick out, select",eligo
wing–footed,alipes
tapestry,tapetum
"artificial, skillful, cunningly wrought",daedalus
illegitimate,nothus
"to create, produce",creo
of Inachus; Inachian,Inachius
to it concerns,refert
Phryx,Phryx
to satisfy,exsaturo
to destroy,perdo
Calydon,Calydon
unattempted,inausus
"pay, wages; article for sale, commodity",merces
to endow,doto
"Bellona, Roman goddess of war",Bellona
Cisseis,Cisseis
with young,praegnans
deadly,funestus
grief–inducing,luctificus
Allecto,Allecto
Pluto (god),Pluto
to spring out; sprout,pullulo
to make pointed,acuo
work,opera
"to go round, go about",ambio
Gorgonian,Gorgoneus
Amata,Amata
to cook,coquo
to put under; place or fasten under,subdo
touching; touch,attactus
"twisted, winding",tortilis
to take in,percipio
having been accustomed,solitus
"much, greatly",multa
robber,praedo
Lacedaemon,Lacedaemon
free,liber
to be situated apart,dissideo
Inachus,Inachus
Acrisius,Acrisius
raging,furialis
to dilute with water; to craze; p.,lympho
"turning, spinning",volubilis
the box tree; (meton.),buxus
"a blow, wound, lashing",plaga
to fly away,evolo
woo!,euhoe
and indeed,etenim
the stalk of a plant; a staff wreathed with ivy and vine–leaves,thyrsus
to gird on,incingo
"to sustain, be able to, endure",sustineo
hurrah! oh!,io
of the hair,crinalis
"dark, dusky",fuscus
pertaining to Acrisione or Danae,Acrisioneus
Danae,Danae
Ardea (name),Ardea
to change the form,transformo
wrinkle,ruga
Calybe,Calybe
old woman,anus
"gift, endowment; dowry",dos
openly,palam
to hiss,sibilo
"fiery, flaming",flammeus
noise,sonor
of twigs,virgeus
to bring or put under or up to; supply,suggero
to abound,exubero
to encourage,exhortor
of Cocytus (river),Cocytius
the sons of Tyrrheus,Tyrrhidae
to nourish,nutrio
Tyrrheus,Tyrrheus
Silvia,Silvia
"to equip, decorate",orno
to comb,pecto
pertaining to an owner,erilis
to be green,virido
"exceptional, distinguished",eximius
to set on fire from beneath; (fig.),succendo
the groin,ile
firebrand; brand,torris
burnt,obustus
split in four parts,quadrifidus
wildly,immane
to obtain; meet,nanciscor
pertaining to shepherds,pastoralis
curving back or round,recurvus
to tremble,contremo
sulphureous,sulphureus
Nar,Nar
Venilus,Velinus
trumpet,bucina
stake; palisade,sudes
to burn at the point,praeuro
darkness; cloud,nubilum
Almo,Almo
Galaesus,Galaesus
5; 5th,quinque
to bleat; subst.,balo
to drench; permeate; wet; stain,imbuo
friendship,amicitia
since indeed,quandoquidem
to sprinkle over; besprinkle,respergo
"sufficiently, enough",abunde
hand to hand,comminus
"freely, without restraint",licenter
"illustrious, famous",nobilis
Ampsanctus (lake),Ampsanctus
on or from either side,utrimque
"crashing, roaring",fragosus
cave,specus
breathing–place; (fig.),spiraculum
pest–bringing,pestifer
to call to witness; conjure,obtestor
to mingle with,admisceo
dance in honor of Bacchus; wild dance,thiasus
"to overturn, overthrow, throw down",perverto
seaweed,alga
"nod, will",nutus
"guilty of impiety, sacrilegious",sacrilegus
Getae,Getae
"Arab, Arabian",Arabus
Parthian,Parthus
lever,vectis
of Gabii,Gabinus
to unbolt; open,resero
an assenting; answering sound,adsensus
to blow,conspiro
"dormant, quiet",inexcitus
to wipe; clean,tergeo
grease,arvina
whetstone,cos
an anvil,incus
Atina,Atina
Tibur (town),Tibur
of or from Crustumeri (town),Crustumerus
tower–crowned,turriger
Antemnae,Antemnae
made of willow,salignus
hurdle; wicker work,crates
corselet,thorax
greave; covering made of metal for the protection of the leg,ocrea
plowshare,vomer
to boil again; recast,recoquo
furnace; forge,fornax
the sound of the trumpet; the trumpet,classicum
square tablet or piece,tessera
Helicon,Helicon
despiser,contemptor
Mezentius,Mezentius
Lausus,Lausus
conqueror,debellator
of Agylla (town),Agyllinus
Aventinus,Aventinus
Rhea,Rhea
woman,mulier
of Laurentum; Laurentian,Laurentius
Geryon,Geryon
of Tiryns (town); Tirynthian,Tirynthius
"of or from Iberia, Iberian, Spanish",Hiberus
javelin,pilum
staff or pole with an iron point; pike,dolo
of the Sabelli or Sabines,Sabellus
"uncombed, untrimmed",impexus
of Tibur (town),Tiburtinus
Tiburtus,Tiburtus
Catillus,Catillus
Coras,Coras
the cloud–born; a name of the Centaurs,nubigenae
Homole,Homole
Othrys,Othrys
of Praeneste,Praenestinus
founder,fundator
Caeculus,Caeculus
legion,legio
Praeneste,Praeneste
Anio (Anien),Anio
of the Hernici,Hernicus
Anagnia,Anagnia
Amasenus river,Amasenus
an acorn; a leaden ball or bullet,glans
to be bluish,liveo
a cap made of skin,galerus
boot or high shoe made of rawhide,pero
Messapus,Messapus
to handle again; gripe or grasp again,retracto
"of Fescennia, Fescennine",Fescenninus
of or from the Aequi,Aequus
Falisci,Falisci
Soracte,Soracte
of Flavinium or Flavina,Flavinius
Ciminus,Ciminus
of Capena,Capenus
"pasture, fodder, food",pastus
"of Asia, esp. of town named 'Asia'",Asius
Clausus,Clausus
pertaining to the Claudii,Claudius
tribe,tribus
of Amiternum,Amiternus
ancient Sabines,Quirites
Eretum,Eretum
olive–bearing,olivifer
Mutusca (town),Mutusca
of Rosea,Roseus
Tetrica,Tetrica
Severus (name),Severus
Casperia,Casperia
of or from Foruli,Forulus
Himella,Himella
the Tiber river,Tiberis
Fabaris,Fabaris
Nursia,Nursia
of Orta (city),Ortinus
Allia,Allia
the beard of wheat,arista
Hermus,Hermus
Halaesus,Halaesus
of Mount Massicus,Massicus
heavy pronged hoe,rastrum
pertaining to Sidicini,Sidicinus
Cales,Cales
shallow,vadosus
neighbor,accola
Vulturnus,Vulturnus
Saticulus,Saticulus
Oscan,Oscus
dart with thong on its shaft,aclys
short Spanish shield,caetra
"hooked, crooked",falcatus
unmentioned,indictus
Oebalus,Oebalus
Telon,Telon
Sebethis,Sebethis
Teleboae,Teleboae
Capreae,Capreae
Sarrastes,Sarrastes
Sarnus,Sarnus
Rufrae,Rufrae
Batulum,Batulum
Celemna,Celemna
fruit–producing,malifer
Abella,Abella
of the Teutons; Teutonic,Teutonicus
farm of religious ceremonial; form,ritus
slender javelin,cateia
the cork tree,suber
mountainous,montosus
Nersae,Nersae
Ufens,Ufens
hunting,venatus
of the Aequi; Aequian,Aequiculus
of Marruvium (city),Marruvius
Archippus,Archippus
"a sending away, a shot",missus
Umbro,Umbro
to grow strong; be able,evalesco
sleep–bringing,somnifer
Marsian,Marsus
Anguitia,Anguitia
"glassy, made of glass",vitreus
Fucinus,Fucinus
Hippolytus,Hippolytus
Virbius,Virbius
Aricia (a town near Rome),Aricia
Egeria,Egeria
appeasable,placabilis
stepmother,noverca
"to pull apart, tear to pieces",distraho
Paeonius,Paeonius
"discoverer, inventor",repertor
the healing art,medicina
Phoebigena,Phoebigena
to send away,relego
of the sea,marinus
to blow or breathe out,efflo
to become harsh; to grow fierce,crudesco
Io,Io
to decorate with a mark; adorn,insignio
to plant upon or over,obsero
"proof, evidence, argument",argumentum
Argus (Argos),Argus
armed with a shield,clipeatus
to make thick; thicken; close up,denseo
"the ancients, ancestors",veteres
Sacranus,Sacranus
of or from the Labici,Labicus
of Anxur,Anxurus
Feronia,Feronia
Satura,Satura
Volscian; of or from the Volscians (tribe),Volscus
Camilla,Camilla
distaff,colus
wicker basket; workbasket,calathus
to look forth; look forth upon; gaze at,prospecto
to bind together,internecto
to swear together; conspire,coniuro
"husbandman, worshipper",cultor
Venulus,Venulus
to become frequent; increase more and more; be spread abroad,increbresco
"just as, in as much as",sicut
vat or tub; bowl,labrum
to strike back; reflect,repercutio
to emit rays of light; flash,radio
to fly about; flit around,pervolito
"shady, dark",umbrosus
to carry,reveho
swelling; of the mind,tumor
Arcas,Arcas
Pallas,Pallas
Euander,Evander
Pallanteum,Pallanteum
plowed fields,culta
detriment,incommodum
horned,corniger
of the same color,concolor
to lie stretched out,procubo
to flow back,refluo
mild; ripe,mitis
striving; toil,luctamen
"anointed, oiled",unctus
"curl, wave; the act of bending or curling",flexus
son of Amphitruo; Hercules,Amphitryoniades
peace–bringing,pacifer
to stick to; cling to,inhaereo
to be afraid,extimesco
Electra,Electra
Atlantis,Atlantis
Cyllene (mountain),Cyllene
"lieutenant, envoy",legatus
trial; essay; experiment; approach,temptamentum
"to fasten, fix; settle for, agree upon, contract for",pango
pertaining to Daunus,Daunius
to wash against,adluo
below,infra
"tested, proved",spectatus
Hesione,Hesione
Salamis,Salamis
Arcadia,Arcadia
desirous,cupidus
Pheneos (–us),Pheneos
to interweave,intertexo
"shaggy, hairy",villosus
expiatory,lustralis
religious awe; superstition,superstitio
recess,recessus
half man,semihomo
Cacus,Cacus
to be moderately warm; to reek,tepeo
"at some time, at length",aliquando
"untouched, untried",intractatus
young,iuvencus
departure,abitus
to guard,custodio
the gall bladder; gall,fel
to fortify; make strong,emunio
an obstacle; a barrier,obex
rocky,saxeus
abrupt,praecisus
"suitable, convenient",opportunus
an impelling; impulse,impulsus
to leap asunder; spring back or apart,dissulto
to uncover,detego
millstone; (meton.),molaris
to vomit out or up,evomo
smoky,fumifer
to squeeze,ango
to drag away,abstraho
to swear off,abiuro
"robbery, plundering, pillage",rapina
dead body,cadaver
half wild,semifer
Potitius,Potitius
of Pinarius,Pinarius
poplar tree; wreath of poplar,populus
cup,scyphus
declining,devexus
broad dish or plate; charger,lanx
Salii,Salii
Oechalia (town),Oechalia
Eurystheus,Eurystheus
having two types of limbs,bimembris
Hylaeus,Hylaeus
Pholus,Pholus
Nemea,Nemea
Typhoeus or Typhon,Typhoeus
of Lerna; Lernaean,Lernaeus
to throw to,adicio
founder,conditor
born in the land,indigena
unteachable,indocilis
worse,deterior
of debased color,decolor
Albula,Albula
Carmentis,Carmentis
of Carmentis,Carmentalis
Lupercal,Lupercal
of Parrhasia,Parrhasius
Pan,Pan
of Lycaeus (mountain); Lycaean,Lycaeus
Argiletum,Argiletum
"Tarpeian, Capitoline",Tarpeius
"pertaining to the woods, pastoral",silvestris
the goatskin shield of Jupiter or Minerva,aegis
town,oppidum
Ianiculum,Ianiculum
washed; neat,lautus
Carinae (place),Carinae
Laurentes,Laurentes
born,natus
of Tithonus,Tithonius
to bind fast; bind,devincio
amber; a mixed metal of the color of amber,electrum
to doubt,indubito
to drive off or away from,abigo
career,curriculum
to endure,tolero
"wool, allotment",pensum
having power over fire,ignipotens
skillfully made,fabrilis
Lipare or Lipara (island),Lipare
mass or bar of hot iron,strictura
Chalybes (people),Chalybes
pertaining to Vulcan,Vulcanius
Brontes,Brontes
Steropes,Steropes
Pyracmon,Pyracmon
to impart form to; mold,informo
to smooth,polio
unfinished,imperfectus
red and gold,rutilus
fear–bringing,horrifer
to fasten together,conecto
to cut off,deseco
mistress,magistra
wound–making,vulnificus
steel,chalybs
to become fluid or liquid; melt,liquesco
pair of bellows; the bellows,follis
pair of tongs,forceps
lump,massa
Lemnius,Lemnius
"of or belonging to the morning, morning",matutinus
tunic,tunica
to bind under; bind,subligo
panther,panthera
"to twist back, bend back",retorqueo
to go before,praecedo
allowed,licitus
saved,sospes
Etrurian; Tuscan; Etruscan,Tuscus
to sound about; raise a din around,circumsono
Etrurian; Tuscan,Etruscus
dead,mortuus
torture,tormentum
to kill,neco
to surround,circumsisto
Etruria; Tuscany,Etruria
to be before; be present,praesum
an inspector of entrails; diviner,haruspex
Maeonia,Maeonia
to join under or to; fasten,subiungo
Tarcho,Tarcho
frost,gelu
military service,militia
unexpectedly,improviso
dry,sudus
to redden; gleam,rutilo
surely,profecto
"of yesterday, yesterday's",hesternus
an announcement,nuntium
to shine or glitter at the end,praefulgeo
to fold over; double,duplico
unsatisfied,inexpletus
Erulus,Erulus
to deprive,viduo
who or what you please,quivis
to wound,vulnero
cavalry,equitatus
dusty,pulvereus
going on four feet,quadrupedans
"fetid, foul–smelling",putris
hoof,ungula
Caere,Caere
Silvanus (name),Silvanus
"lukewarm, tepid",egelidus
to separate,secerno
fatal,fatifer
to take fire; become glowing,inardesco
that can be expressed,enarrabilis
that which is woven or plaited; a texture,textum
not afraid,impavidus
games in the Circus (Maximus),circensis
descendants or people of Romulus; Romans,Romulidae
Tatius,Tatius
"pig, sow",porca
Mettus,Mettus
thorn,vepres
Porsenna (name),Porsenna
bridge,pons
Cocles,Cocles
Cloelia,Cloelia
Manlius,Manlius
stalk,culmus
(made of) silver,argenteus
goose,anser
made of twigs,virgatus
soldier's cloak,sagulum
milky,lacteus
Gallic javelin,gaesum
Luperci,Luperci
to beat out,extundo
chariot,pilentum
Catilina,Catilina
"projecting, overhanging",minax
Agrippa,Agrippa
beaked,rostratus
Antonius,Antonius
red,ruber
Egypt,Aegyptos
Bactra,Bactra
Egyptian,Aegyptius
metallic rattle,sistrum
"of all sorts, of every kind",omnigenus
one who barks like a dog; a barker,latrator
Anubis,Anubis
Arab,Arabs
Iapyx,Iapyx
to examine,recognosco
to ungird; p.,discingo
Mulciber,Mulciber
African; an inhabitant of Africa,Afer
Leleges,Leleges
"Carian, of Caria in the southwestern part of Asia Minor (> Caria)",Car
arrow–bearing,sagittifer
A Gelonian or Scythian,Gelonus
Euphrates,Euphrates
"of or from the Morini, a people of Belgic Gaul",Morinus
Rhine,Rhenus
two–horned,bicornis
Dahae,Dahae
Araxes,Araxes
Pilumnus,Pilumnus
Thaumantias,Thaumantias
belonging to; dwelling on the Palatine hill,Palatinus
Lydian; Etruscan,Lydus
to soothe,sedo
Ganges,Ganges
to swing or hurl,attorqueo
to ambush,insidior
sheepcote,ovile
an opening,caulae
"to bear to the end, endure",perpetior
bleating (of a sheep),balatus
to take fire; to be fired,ignesco
fortification,vallum
presence; protection,praesentia
lasting throughout the year,perennis
"to form, shape",formo
"troubled, disquieted",anxius
"world, universe, heavens",mundus
of Nereus; Nereian,Nereius
Doto,Doto
Galatea,Galatea
pitch,pix
to shine against,offulgeo
"to dip, plunge",demergo
"before (+ abl.), in the face of, in view of",prae
"productive, fertile",fertilis
to commit a wrong; injure,pecco
to get ready,apparo
to care for; attend to; refresh,procuro
to set before,obsido
100 each,centeni
"to vary, diversify; adorn with various colors",vario
without sleep,insomnis
to lie out; be on guard,excubo
"unshaven, unshorn",intonsus
to summon,accio
pertaining to Pallanteum,Pallanteus
Opheltes,Opheltes
"to instruct, train; free from roughness",erudio
to buy,emo
sacrifices/rites in honor of the dead,inferiae
to pursue,persequor
immediately,confestim
leading two ways,bivius
to destroy,deleo
"promptly, immediately",actutum
to conquer completely,devinco
Arisba,Arisba
to be red,rubeo
6; 6th,sex
dissimilar,dissimilis
not saluted,insalutatus
to weep,inlacrimo
Lycaon,Lycaon
to exchange,permuto
"first, foremost",primoris
to pluck asunder,discerpo
Rhamnes,Rhamnes
to blow; breathe forth noisily,proflo
rashly,temere
to sob,singulto
to make tepid or warm; (pass.),tepefacio
Lamyrus,Lamyrus
Lamus,Lamus
unfed,impastus
insane,vesanus
"inarticulate, mute",mutus
to rage wildly; rave,perfuro
common people,plebs
Fadus,Fadus
Herbesus,Herbesus
Rhoetus,Rhoetus
Abaris,Abaris
excessive,nimius
complete,perfectus
"bubble; locket, amulet; a boss",bulla
of Tibur (town),Tiburs
Remulus,Remulus
"absent, distant",absens
Caedicus,Caedicus
armed with a shield,scutatus
Volcens,Volcens
"faintly gleaming, lurid",sublustris
separation; parting,divortium
not seeing or knowing beforehand,imprudens
much entangled,perplexus
of Latona; Latonian,Latonius
Hyrtacus,Hyrtacus
cupola,tholus
Sulmo,Sulmo
a gasp,singultus
Tagus,Tagus
to drive through,transadigo
to lie down again; sink down,recumbo
to cut beneath; cut,succido
to become faint,languesco
rain,pluvia
"to be burdened, be vexed",gravor
to push,proturbo
