SIMPLE_LEMMA,PART_OF_SPEECH,Total_Count_in_Text
folium,Noun,12
atque,Conjunction,293
aridus,Adjective,2
circum,Preposition,74
nutrimentum,Noun,1
do,Verb,317
rapio,Verb,58
que,Conjunction,3212
in,Preposition,769
fomes,Noun,1
flamma,Noun,73
tum,Adverb,248
Ceres,Noun,8
corrumpo,Verb,2
unda,Noun,109
Cerealis,Adjective,2
que,Conjunction,3212
arma,Noun,279
expedio,Verb,14
fessus,Adjective,33
res,Noun,98
frux,Noun,4
que,Conjunction,3212
recipio,Verb,19
et,Conjunction,2083
torreo,Verb,8
paro,Verb,58
flamma,Noun,73
et,Conjunction,2083
frango,Verb,18
saxum,Noun,78
Aeneas,Noun,238
scopulus,Noun,27
interea,Adverb,55
conscendo,Verb,6
et,Conjunction,2083
omnis,Adjective,330
prospectus,Noun,2
latus,Adjective,60
pelagus,Noun,44
peto,Verb,128
Antheus,Noun,3
si,Conjunction,206
quis,Pronoun,85
iacto,Verb,31
ventus,Noun,87
video,Verb,214
Phrygius,Adjective,28
que,Conjunction,3212
biremis,Noun,2
aut,Conjunction,216
Capys,Noun,5
aut,Conjunction,216
celsus,Adjective,23
in,Preposition,769
puppis,Noun,43
arma,Noun,279
Caicus,Noun,2
navis,Noun,46
in,Preposition,769
conspectus,Noun,9
nullus,Adjective,57
tres,Number,20
litus,Noun,127
cervus,Noun,7
prospicio,Verb,16
erro,Verb,32
hic,Pronoun,694
totus,Adjective,103
armentum,Noun,11
sequor,Verb,122
a,Preposition,197
tergum,Noun,52
et,Conjunction,2083
longus,Adjective,125
per,Preposition,351
valles,Noun,14
pascor,Verb,5
agmen,Noun,98
consisto,Verb,17
hic,Pronoun,694
arcus,Noun,23
que,Conjunction,3212
manus,Noun,206
celer,Adjective,25
que,Conjunction,3212
sagitta,Noun,28
corripio,Verb,31
fidus,Adjective,23
qui,Pronoun,766
telum,Noun,147
gero,Verb,40
Achates,Noun,21
ductor,Noun,23
que,Conjunction,3212
ipse,Pronoun,289
primum,Number,53
caput,Noun,84
altus,Adjective,175
fero,Verb,273
cornu,Noun,23
arboreus,Adjective,2
sterno,Verb,47
tum,Adverb,248
vulgus,Noun,9
et,Adverb,67
omnis,Adjective,330
misceo,Verb,45
ago,Verb,102
telum,Noun,147
nemus,Noun,37
